20: Number of Connected-Weighted-Undirected-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 8, 16, 10.355)
      ( 8, 22,  5.432)
      ( 8, 30, 14.262)
      ( 9, 12, 29.863)
      ( 9, 28, 91.227)
      (10, 11, 89.840)
      (10, 12, 44.262)
      (10, 14, 63.262)
      (10, 16, 82.854)
      (10, 18, 81.824)
      (10, 26, 77.703)
      (10, 31,  1.914)
      (10, 34, 13.573)
      (11, 13,  9.849)
      (11, 18, 59.115)
      (11, 19,  0.715)
      (11, 20, 27.688)
      (11, 21, 82.273)
      (11, 28, 16.365)
      (11, 31, 36.948)
      (11, 32, 63.419)
      (12, 14, 55.896)
      (12, 19, 33.222)
      (12, 24, 58.848)
      (12, 25, 93.070)
      (12, 28, 56.082)
      (12, 30, 87.157)
      (12, 31, 25.469)
      (13, 26, 14.340)
      (13, 30, 53.258)
      (13, 31, 81.246)
      (13, 32, 20.906)
      (13, 33, 23.894)
      (13, 34, 44.213)
      (14, 19,  6.001)
      (14, 22,  4.403)
      (14, 23, 49.935)
      (14, 28, 72.680)
      (14, 29, 90.947)
      (15, 18, 47.196)
      (15, 25, 11.385)
      (15, 31, 30.071)
      (16, 25, 49.478)
      (16, 26, 62.494)
      (16, 31, 11.416)
      (16, 32, 66.001)
      (16, 33, 74.210)
      (17, 26, 44.835)
      (17, 27, 43.793)
      (18, 25, 31.407)
      (18, 26, 28.494)
      (18, 27, 59.515)
      (18, 31, 50.984)
      (18, 32, 71.239)
      (19, 23, 96.588)
      (19, 25, 62.838)
      (19, 34, 82.117)
      (20, 21, 12.771)
      (20, 24, 11.516)
      (20, 28, 28.273)
      (21, 24, 33.884)
      (21, 32, 38.574)
      (22, 29, 89.080)
      (22, 30, 59.023)
      (22, 32,  3.179)
      (22, 33, 37.176)
      (22, 34,  8.665)
      (23, 26, 42.389)
      (23, 30, 77.748)
      (24, 28, 75.557)
      (24, 30, 17.317)
      (24, 32, 53.403)
      (25, 31,  4.421)
      (25, 32, 42.751)
      (25, 33, 77.163)
      (26, 31, 75.185)
      (27, 31, 91.751)
      (27, 32, 20.201)
      (28, 32, 61.282)
      (28, 34, 69.700)
      (29, 31, 25.187)
      (29, 32,  2.803)
      (30, 32, 36.942)
      (31, 33,  4.580)
      (32, 33, 71.440) } |E|=154 
---------------- 

** G14: |V|=40
(u, v, weight) E = { 
      ( 0,  1, 77.943)
      ( 0,  2, 60.202)
      ( 0,  3, 42.735)
      ( 0,  7, 60.022)
      ( 0, 12, 20.075)
      ( 0, 13, 94.527)
      ( 0, 16, 16.334)
      ( 0, 24, 31.405)
      ( 0, 25, 96.695)
      ( 0, 30, 49.266)
      ( 0, 32, 43.761)
      ( 0, 34,  6.612)
      ( 0, 37, 35.039)
      ( 0, 38, 83.256)
      ( 1,  4, 98.159)
      ( 1,  9, 97.880)
      ( 1, 14, 85.477)
      ( 1, 15,  6.637)
      ( 1, 19, 44.597)
      ( 1, 21, 51.481)
      ( 1, 24,  3.361)
      ( 1, 27, 13.847)
      ( 1, 32, 67.425)
      ( 1, 35, 24.547)
      ( 1, 37, 17.134)
      ( 1, 39, 56.298)
      ( 2,  4, 18.697)
      ( 2,  5, 90.279)
      ( 2,  6, 43.840)
      ( 2,  9, 96.420)
      ( 2, 14, 58.899)
      ( 2, 15, 12.974)
      ( 2, 18, 81.950)
      ( 2, 23,  7.939)
      ( 2, 25, 20.570)
      ( 2, 30, 94.888)
      ( 2, 32, 24.265)
      ( 2, 37,  9.742)
      ( 3,  5, 14.909)
      ( 3, 13, 42.132)
      ( 3, 16, 52.951)
      ( 3, 17, 94.600)
      ( 3, 18, 88.079)
      ( 3, 19, 59.695)
      ( 3, 20, 70.200)
      ( 3, 22, 36.852)
      ( 3, 25, 87.191)
      ( 3, 29, 29.145)
      ( 3, 31, 39.045)
      ( 3, 32, 90.230)
      ( 3, 36, 40.911)
      ( 3, 37, 94.195)
      ( 3, 38,  6.145)
      ( 3, 39, 30.124)
      ( 4,  5, 60.280)
      ( 4,  8, 31.551)
      ( 4, 10, 37.617)
      ( 4, 14, 33.386)
      ( 4, 16, 79.652)
      ( 4, 17, 25.164)
      ( 4, 18, 61.286)
      ( 4, 24, 95.742)
      ( 4, 26, 50.889)
      ( 4, 32, 60.938)
      ( 4, 34, 39.330)
      ( 4, 35, 87.256)
      ( 4, 38, 60.498)
      ( 5,  6, 89.259)
      ( 5, 13, 74.638)
      ( 5, 14, 51.654)
      ( 5, 15, 32.453)
      ( 5, 17, 13.369)
      ( 5, 24, 96.881)
      ( 5, 26, 27.672)
      ( 5, 28, 21.057)
      ( 5, 29, 95.072)
      ( 5, 30, 91.665)
      ( 5, 32, 71.962)
      ( 5, 37, 16.924)
      ( 6,  7, 91.333)
      ( 6, 12, 13.864)
      ( 6, 14, 75.330)
      ( 6, 22, 64.435)
      ( 6, 24, 54.898)
      ( 6, 26, 88.208)
      ( 6, 30, 64.461)
      ( 6, 31, 89.706)
      ( 6, 33, 52.770)
      ( 6, 35, 33.959)
      ( 7, 18, 57.800)
      ( 7, 19, 22.347)
      ( 7, 23, 10.110)
      ( 7, 26, 98.014)
      ( 7, 27, 90.006)
      ( 7, 28, 25.788)
      ( 7, 32, 99.466)
      ( 7, 36, 28.723)
      ( 7, 37, 21.589)
      ( 8, 10,  7.334)
      ( 8, 11,  4.575)
      ( 8, 16, 71.161)
      ( 8, 21, 30.272)
      ( 8, 27,  2.139)
      ( 8, 35, 63.619)
      ( 8, 39, 43.870)
      ( 9, 12, 96.897)
      ( 9, 28,  8.419)
      ( 9, 30, 34.766)
      ( 9, 32, 71.362)
      ( 9, 39,  1.456)
      (10, 13,  1.454)
      (10, 15, 60.892)
      (10, 19,  6.593)
      (10, 20, 68.462)
      (10, 21, 70.191)
      (10, 24, 14.287)
      (10, 28, 61.498)
      (10, 31, 13.797)
      (10, 36,  0.006)
      (11, 13, 38.487)
      (11, 15, 32.110)
      (11, 16, 20.841)
      (11, 19, 15.307)
      (11, 20, 43.821)
      (11, 21, 89.600)
      (11, 22, 86.454)
      (11, 23, 17.342)
      (11, 24,  7.776)
      (11, 27, 51.479)
      (11, 31, 33.234)
      (11, 32, 46.189)
      (11, 33, 71.207)
      (11, 36, 14.703)
      (12, 13,  1.942)
      (12, 15, 61.429)
      (12, 21,  0.774)
      (12, 31, 84.870)
      (12, 32, 58.833)
      (12, 34, 69.390)
      (12, 36,  5.392)
      (13, 15, 54.990)
      (13, 16, 36.352)
      (13, 28, 86.719)
      (13, 29,  5.250)
      (13, 30, 55.054)
      (13, 32, 36.508)
      (13, 33, 63.899)
      (13, 34, 45.306)
      (13, 35, 37.397)
      (13, 36, 36.582)
      (13, 38, 97.769)
      (13, 39,  8.076)
      (14, 17,  1.702)
      (14, 18, 49.336)
      (14, 27, 29.422)
      (14, 29, 48.177)
      (14, 30, 19.432)
      (14, 31, 14.328)
      (14, 34, 29.025)
      (14, 38, 67.065)
      (15, 22, 17.851)
      (15, 23,  3.791)
      (15, 26,  4.585)
      (15, 27, 27.497)
      (15, 28, 19.578)
      (15, 30, 92.509)
      (15, 32, 80.066)
      (15, 33, 52.678)
      (15, 37, 16.790)
      (16, 18,  6.756)
      (16, 20, 80.489)
      (16, 22, 38.994)
      (16, 33, 68.210)
      (16, 34, 59.592)
      (16, 35, 72.354)
      (16, 36, 84.109)
      (17, 22, 30.968)
      (17, 30, 91.240)
      (17, 32, 67.949)
      (17, 39, 78.015)
      (18, 19, 83.962)
      (18, 21, 29.174)
      (18, 27, 95.737)
      (18, 31,  8.717)
      (18, 33, 63.585)
      (18, 38, 66.984)
      (19, 23, 86.308)
      (19, 27,  1.526)
      (19, 30, 67.755)
      (19, 31, 31.516)
      (19, 32, 24.089)
      (19, 34,  2.698)
      (20, 25, 60.033)
      (20, 26, 96.430)
      (20, 29, 35.587)
      (20, 31, 33.445)
      (21, 24, 77.258)
      (21, 25, 99.547)
      (21, 34, 34.204)
      (21, 36, 38.850)
      (21, 38, 76.258)
      (22, 24, 23.636)
      (22, 29,  4.798)
      (22, 33,  6.208)
      (22, 34, 61.820)
      (22, 35, 59.423)
      (23, 25, 99.757)
      (23, 26, 28.381)
      (23, 31,  7.033)
      (23, 32, 76.084)
      (23, 37, 47.280)
      (23, 39, 59.940)
      (24, 28, 63.369)
      (24, 29, 52.545)
      (24, 33, 80.868)
      (24, 34, 79.221)
      (24, 35, 35.322)
      (25, 32,  7.769)
      (25, 33, 39.231)
      (25, 35, 69.864)
      (25, 36, 27.539)
      (25, 37, 16.429)
      (26, 27, 68.960)
      (26, 28,  8.356)
      (26, 32, 76.875)
      (26, 34, 55.815)
      (26, 35, 23.850)
      (26, 36, 15.549)
      (26, 37, 11.260)
      (27, 33, 80.262)
      (28, 33, 69.511)
      (28, 36, 86.260)
      (28, 39, 10.352)
      (29, 30, 72.942)
      (29, 31, 92.831)
      (29, 32, 31.911)
      (29, 34, 77.170)
      (30, 34, 87.155)
      (30, 36, 43.176)
      (30, 39,  0.840)
      (32, 33,  1.949)
      (32, 36, 41.967)
      (32, 37, 77.860)
      (32, 39, 97.208)
      (33, 34, 12.587)
      (33, 39, 76.703)
      (37, 38, 63.040)
      (38, 39, 10.990) } |E|=248 
---------------- 

** G15: |V|=40
(u, v, weight) E = { 
      ( 0,  1, 54.923)
      ( 0,  4, 46.982)
      ( 0,  6, 91.771)
      ( 0,  8, 88.476)
      ( 0, 12, 74.549)
      ( 0, 18, 58.035)
      ( 0, 21, 52.082)
      ( 0, 28, 20.372)
      ( 0, 33, 86.384)
      ( 0, 34, 50.249)
      ( 0, 36, 70.892)
      ( 1,  2, 17.853)
      ( 1,  6, 80.760)
      ( 1,  7, 34.141)
      ( 1, 16,  3.807)
      ( 1, 17, 40.736)
      ( 1, 19, 82.104)
      ( 1, 21,  9.650)
      ( 1, 22,  7.563)
      ( 1, 24, 72.912)
      ( 1, 26, 85.834)
      ( 1, 27, 58.957)
      ( 1, 31, 47.251)
      ( 1, 34, 79.002)
      ( 1, 35, 22.037)
      ( 1, 39, 66.128)
      ( 2,  3, 92.426)
      ( 2,  5, 15.363)
      ( 2,  7, 15.808)
      ( 2,  9, 63.263)
      ( 2, 14, 19.327)
      ( 2, 20, 13.324)
      ( 2, 22, 91.663)
      ( 2, 23,  0.646)
      ( 2, 32, 46.298)
      ( 2, 34, 95.712)
      ( 2, 36, 74.825)
      ( 3,  6, 58.644)
      ( 3,  8, 74.634)
      ( 3, 12, 16.723)
      ( 3, 23, 60.565)
      ( 3, 27, 29.925)
      ( 3, 29, 96.826)
      ( 3, 37, 31.257)
      ( 3, 38, 74.400)
      ( 3, 39, 81.727)
      ( 4,  9, 15.515)
      ( 4, 12,  5.678)
      ( 4, 18, 38.005)
      ( 4, 21, 82.350)
      ( 4, 22, 30.596)
      ( 4, 32, 64.318)
      ( 4, 36, 65.177)
      ( 4, 39, 24.983)
      ( 5,  7, 72.294)
      ( 5,  9, 82.024)
      ( 5, 16, 18.856)
      ( 5, 18, 14.630)
      ( 5, 24, 80.233)
      ( 5, 26, 67.527)
      ( 5, 28, 77.513)
      ( 5, 32, 65.731)
      ( 5, 33, 73.258)
      ( 5, 35,  1.292)
      ( 6,  7, 13.265)
      ( 6,  8, 46.669)
      ( 6,  9,  3.140)
      ( 6, 10, 34.346)
      ( 6, 11, 20.828)
      ( 6, 13, 44.938)
      ( 6, 14, 71.336)
      ( 6, 15, 36.613)
      ( 6, 17, 12.144)
      ( 6, 19, 99.944)
      ( 6, 20, 45.505)
      ( 6, 24,  6.347)
      ( 6, 28, 70.649)
      ( 6, 31, 24.689)
      ( 6, 33, 50.902)
      ( 6, 34, 88.981)
      ( 6, 35, 39.861)
      ( 6, 37, 76.946)
      ( 7, 10, 80.080)
      ( 7, 16, 45.029)
      ( 7, 19, 60.194)
      ( 7, 25, 87.468)
      ( 7, 26, 46.957)
      ( 7, 28, 42.910)
      ( 7, 29, 13.614)
      ( 7, 34,  9.404)
      ( 7, 35, 12.951)
      ( 8, 11, 81.060)
      ( 8, 12, 22.769)
      ( 8, 14, 72.270)
      ( 8, 15, 93.344)
      ( 8, 17, 96.023)
      ( 8, 18, 93.992)
      ( 8, 19, 47.796)
      ( 8, 39, 22.694)
      ( 9, 10, 12.460)
      ( 9, 11, 52.865)
      ( 9, 15, 36.000)
      ( 9, 16, 18.852)
      ( 9, 17, 47.156)
      ( 9, 20, 67.628)
      ( 9, 28,  4.680)
      ( 9, 29, 42.820)
      ( 9, 31, 56.537)
      (10, 12, 38.284)
      (10, 18, 69.214)
      (10, 21, 69.094)
      (10, 26, 55.533)
      (10, 31, 16.881)
      (10, 39,  6.534)
      (11, 13, 28.764)
      (11, 17, 96.424)
      (11, 18, 85.709)
      (11, 21, 46.430)
      (11, 27, 43.306)
      (11, 28, 52.008)
      (11, 31, 47.877)
      (11, 32,  8.906)
      (11, 33, 40.344)
      (11, 38, 47.066)
      (12, 13, 80.091)
      (12, 15, 12.830)
      (12, 19, 42.420)
      (12, 27, 73.052)
      (12, 28, 83.095)
      (12, 30, 32.796)
      (12, 32, 29.476)
      (13, 15, 14.182)
      (13, 17, 40.111)
      (13, 18,  6.552)
      (13, 26, 39.113)
      (13, 27, 15.724)
      (13, 32, 33.601)
      (13, 34, 38.364)
      (13, 35, 64.768)
      (14, 19, 42.605)
      (14, 20, 38.201)
      (14, 21, 41.769)
      (14, 30,  7.518)
      (14, 34, 78.159)
      (15, 16,  3.201)
      (15, 17, 30.636)
      (15, 22, 72.485)
      (15, 25, 11.875)
      (15, 26, 39.458)
      (15, 27, 29.614)
      (15, 28,  9.043)
      (15, 30, 71.071)
      (15, 32, 61.900)
      (15, 37, 41.563)
      (15, 38, 55.724)
      (15, 39, 87.825)
      (16, 19, 67.120)
      (16, 20, 68.684)
      (16, 34, 12.616)
      (16, 37, 79.462)
      (16, 38, 95.700)
      (17, 20, 58.342)
      (17, 24, 19.981)
      (17, 26, 88.028)
      (17, 27, 90.260)
      (17, 29, 45.698)
      (17, 32, 70.455)
      (18, 22, 81.566)
      (18, 27, 37.919)
      (18, 28, 58.201)
      (18, 30, 88.115)
      (18, 33, 63.444)
      (19, 22,  8.018)
      (19, 23,  6.699)
      (19, 25, 49.899)
      (19, 39, 40.747)
      (20, 21, 24.000)
      (20, 22, 94.163)
      (20, 25,  1.282)
      (20, 28, 33.552)
      (20, 30, 29.491)
      (20, 31, 88.557)
      (20, 33, 49.345)
      (20, 34,  5.150)
      (21, 22, 27.970)
      (21, 28, 30.207)
      (21, 31, 19.453)
      (21, 32, 30.685)
      (21, 33, 12.970)
      (21, 34, 77.067)
      (21, 35, 91.380)
      (21, 37, 99.156)
      (22, 23, 35.405)
      (22, 24, 27.598)
      (22, 28, 76.853)
      (22, 36, 95.984)
      (23, 25, 31.777)
      (23, 28, 35.754)
      (23, 29,  9.579)
      (23, 31, 92.797)
      (23, 39,  5.490)
      (24, 28, 31.479)
      (24, 29, 52.075)
      (24, 30, 73.847)
      (24, 32, 16.176)
      (24, 34, 29.889)
      (24, 35, 62.658)
      (24, 37, 99.464)
      (24, 39, 67.151)
      (25, 30,  4.841)
      (25, 31, 76.210)
      (25, 32,  7.627)
      (25, 33, 91.886)
      (25, 35, 14.103)
      (25, 37, 37.369)
      (26, 27,  4.436)
      (26, 28,  4.676)
      (26, 29, 82.079)
      (26, 34, 69.868)
      (26, 35, 80.048)
      (27, 29, 34.480)
      (27, 31, 10.048)
      (27, 32, 82.309)
      (27, 38, 18.858)
      (27, 39, 12.179)
      (28, 35, 50.242)
      (28, 36, 54.002)
      (28, 39, 80.061)
      (29, 31, 38.202)
      (29, 33, 37.755)
      (29, 35, 36.898)
      (29, 38, 19.128)
      (29, 39, 57.458)
      (30, 31, 90.144)
      (30, 32, 83.758)
      (30, 35,  9.172)
      (31, 33, 93.536)
      (31, 34, 64.581)
      (31, 35, 75.894)
      (32, 37, 65.587)
      (32, 38, 18.840)
      (33, 36, 41.241)
      (33, 37, 46.480)
      (33, 38, 66.737)
      (34, 37, 73.484)
      (34, 38, 22.197)
      (35, 36, 83.423)
      (35, 38, 97.453)
      (36, 38, 89.606)
      (37, 38, 75.383)
      (37, 39, 64.925) } |E|=251 
---------------- 

** G16: |V|=45
(u, v, weight) E = { 
      ( 0,  1, 12.790)
      ( 0,  3, 31.448)
      ( 0,  4, 20.281)
      ( 0,  5, 85.866)
      ( 0,  7, 30.580)
      ( 0, 10, 53.304)
      ( 0, 14,  7.093)
      ( 0, 15, 64.483)
      ( 0, 17, 54.136)
      ( 0, 18, 29.076)
      ( 0, 19, 47.270)
      ( 0, 23, 31.435)
      ( 0, 25, 86.568)
      ( 0, 38, 73.321)
      ( 0, 39, 75.580)
      ( 0, 44, 33.258)
      ( 1,  2, 45.747)
      ( 1,  4, 66.686)
      ( 1,  5,  1.686)
      ( 1, 13, 64.643)
      ( 1, 14, 31.911)
      ( 1, 17, 77.418)
      ( 1, 22, 27.605)
      ( 1, 23, 17.683)
      ( 1, 27, 72.046)
      ( 1, 31, 96.594)
      ( 1, 37, 26.125)
      ( 1, 41, 37.512)
      ( 1, 42, 77.296)
      ( 2,  4, 43.593)
      ( 2,  9, 80.241)
      ( 2, 11, 54.479)
      ( 2, 13, 15.613)
      ( 2, 14, 71.544)
      ( 2, 16,  7.663)
      ( 2, 23, 98.108)
      ( 2, 25, 12.722)
      ( 2, 38, 60.452)
      ( 2, 40, 96.784)
      ( 2, 44, 21.299)
      ( 3, 10, 86.636)
      ( 3, 11, 93.876)
      ( 3, 16,  9.879)
      ( 3, 19, 62.725)
      ( 3, 20, 67.519)
      ( 3, 22, 27.249)
      ( 3, 36, 70.587)
      ( 3, 40, 61.605)
      ( 3, 42,  8.686)
      ( 3, 44, 84.936)
      ( 4,  9, 71.759)
      ( 4, 14,  9.673)
      ( 4, 15, 50.977)
      ( 4, 18, 48.675)
      ( 4, 23, 93.227)
      ( 4, 25, 59.439)
      ( 4, 29, 36.799)
      ( 4, 38, 94.976)
      ( 4, 43, 34.673)
      ( 5,  6, 20.962)
      ( 5, 11, 57.453)
      ( 5, 12, 96.712)
      ( 5, 13, 88.657)
      ( 5, 15,  3.917)
      ( 5, 21, 28.656)
      ( 5, 23, 85.708)
      ( 5, 25,  4.196)
      ( 5, 30, 29.936)
      ( 5, 36, 79.516)
      ( 5, 38, 71.985)
      ( 5, 39, 69.435)
      ( 6,  7, 88.693)
      ( 6,  8, 34.646)
      ( 6,  9, 41.765)
      ( 6, 10, 53.332)
      ( 6, 21, 13.852)
      ( 6, 26, 26.709)
      ( 6, 31, 65.253)
      ( 6, 32,  0.260)
      ( 6, 33, 35.335)
      ( 6, 39,  5.701)
      ( 6, 42, 74.811)
      ( 7, 13, 75.161)
      ( 7, 16, 64.525)
      ( 7, 19,  1.829)
      ( 7, 20, 57.384)
      ( 7, 22, 75.662)
      ( 7, 24, 44.114)
      ( 7, 29, 18.119)
      ( 7, 33,  4.041)
      ( 7, 37, 38.112)
      ( 7, 40, 82.343)
      ( 7, 41,  4.238)
      ( 7, 43, 56.058)
      ( 7, 44, 19.768)
      ( 8, 10, 68.910)
      ( 8, 15, 75.019)
      ( 8, 16, 87.622)
      ( 8, 17, 18.644)
      ( 8, 25,  5.204)
      ( 8, 36, 71.746)
      ( 8, 37,  4.999)
      ( 8, 38,  2.055)
      ( 8, 39,  0.382)
      ( 8, 40, 51.098)
      ( 8, 41, 37.028)
      ( 9, 14, 14.531)
      ( 9, 15, 72.872)
      ( 9, 17, 41.995)
      ( 9, 20, 21.409)
      ( 9, 23, 81.839)
      ( 9, 30, 23.283)
      ( 9, 35, 41.588)
      ( 9, 41, 23.605)
      ( 9, 43, 42.904)
      (10, 13, 51.650)
      (10, 16, 69.614)
      (10, 18, 61.023)
      (10, 19, 53.393)
      (10, 20, 71.053)
      (10, 21, 19.640)
      (10, 22,  8.391)
      (10, 23,  1.282)
      (10, 26, 50.148)
      (10, 28, 18.717)
      (10, 39, 34.727)
      (10, 42, 27.843)
      (10, 43, 15.137)
      (10, 44, 87.356)
      (11, 12, 58.214)
      (11, 15, 56.329)
      (11, 18, 71.637)
      (11, 26, 77.294)
      (11, 28, 68.236)
      (11, 29, 82.328)
      (11, 30, 51.764)
      (11, 31, 70.557)
      (11, 32, 18.630)
      (11, 41, 41.757)
      (11, 42, 97.433)
      (12, 19, 79.678)
      (12, 31, 33.597)
      (13, 14,  6.636)
      (13, 16, 13.468)
      (13, 19, 33.558)
      (13, 29, 78.623)
      (13, 33, 89.632)
      (13, 35, 17.675)
      (13, 37, 92.476)
      (13, 38, 67.487)
      (13, 39, 26.549)
      (13, 43, 21.782)
      (14, 15, 59.951)
      (14, 17, 15.782)
      (14, 25, 69.190)
      (14, 32, 22.245)
      (15, 18, 70.203)
      (15, 19, 28.003)
      (15, 20, 72.239)
      (15, 22, 16.781)
      (15, 23, 99.051)
      (15, 27, 50.439)
      (15, 28, 70.600)
      (15, 32, 31.111)
      (15, 43, 58.549)
      (16, 17, 35.702)
      (16, 23, 40.028)
      (16, 26, 48.166)
      (16, 31,  0.403)
      (16, 34, 64.709)
      (16, 35, 97.398)
      (16, 39,  8.257)
      (16, 40,  0.164)
      (17, 20, 95.935)
      (17, 23, 62.394)
      (17, 26, 57.977)
      (17, 33, 41.785)
      (17, 34, 44.479)
      (17, 36, 80.784)
      (17, 39, 84.138)
      (17, 43,  4.735)
      (18, 23,  5.335)
      (18, 35, 36.545)
      (18, 37, 93.843)
      (18, 41, 13.886)
      (18, 42, 22.403)
      (18, 43, 10.615)
      (19, 20, 12.619)
      (19, 24, 55.050)
      (19, 31, 81.180)
      (19, 32, 24.333)
      (19, 37, 39.558)
      (19, 41, 74.524)
      (19, 42, 72.987)
      (20, 21, 81.751)
      (20, 29, 20.823)
      (20, 33, 97.771)
      (20, 40, 30.931)
      (20, 41, 37.146)
      (21, 22, 48.773)
      (21, 23, 38.993)
      (21, 24, 82.426)
      (21, 28,  2.959)
      (21, 30, 31.524)
      (21, 32, 96.116)
      (21, 36,  2.255)
      (21, 40, 73.192)
      (21, 41, 40.584)
      (21, 44, 65.454)
      (22, 24, 28.530)
      (22, 25, 77.876)
      (22, 26,  7.372)
      (22, 34, 65.423)
      (22, 37, 16.317)
      (22, 39, 93.265)
      (22, 41, 76.352)
      (22, 44, 91.416)
      (23, 24,  4.410)
      (23, 27, 33.336)
      (23, 30, 65.707)
      (23, 33, 12.752)
      (23, 34, 86.422)
      (23, 35, 37.256)
      (23, 36, 54.224)
      (23, 37, 22.852)
      (23, 41, 88.019)
      (23, 43, 23.486)
      (23, 44, 33.920)
      (24, 25, 17.526)
      (24, 27, 11.740)
      (24, 28, 14.771)
      (24, 33, 14.603)
      (24, 35, 48.772)
      (24, 38, 26.514)
      (25, 26, 70.813)
      (25, 27, 27.103)
      (25, 28, 49.396)
      (25, 30,  5.698)
      (25, 37, 73.212)
      (25, 38, 67.014)
      (25, 42, 43.115)
      (26, 28, 97.522)
      (26, 30, 59.295)
      (26, 38, 92.393)
      (26, 43, 53.331)
      (27, 28, 73.458)
      (27, 29, 13.539)
      (27, 40, 81.441)
      (27, 43,  5.083)
      (28, 30, 25.129)
      (28, 32, 77.603)
      (28, 38, 89.890)
      (28, 44, 43.040)
      (29, 33, 14.209)
      (29, 36, 67.896)
      (30, 31, 80.914)
      (30, 32, 28.656)
      (30, 37, 55.929)
      (30, 44, 73.974)
      (31, 32, 70.605)
      (31, 33, 31.614)
      (31, 40, 65.116)
      (32, 33, 70.565)
      (32, 39, 82.018)
      (32, 41, 30.652)
      (32, 42, 89.862)
      (32, 44, 51.651)
      (33, 41, 12.715)
      (34, 44, 77.570)
      (35, 36, 95.253)
      (35, 37, 75.704)
      (35, 40, 22.251)
      (35, 42, 59.131)
      (35, 43, 79.766)
      (36, 37, 47.357)
      (36, 39, 30.731)
      (36, 41,  3.147)
      (36, 43, 48.495)
      (37, 41, 85.683)
      (38, 43, 60.868)
      (39, 40, 43.048)
      (39, 41, 68.753)
      (39, 44, 11.886)
      (40, 41, 91.293)
      (40, 42, 38.288)
      (40, 43, 23.662)
      (41, 43, 55.519) } |E|=287 
---------------- 

** G17: |V|=45
(u, v, weight) E = { 
      ( 0,  1, 70.352)
      ( 0,  4, 38.358)
      ( 0,  5, 21.682)
      ( 0,  8, 96.386)
      ( 0, 12, 60.823)
      ( 0, 14, 22.958)
      ( 0, 16, 73.118)
      ( 0, 19, 13.251)
      ( 0, 20, 48.105)
      ( 0, 26, 49.636)
      ( 0, 27, 44.736)
      ( 0, 29, 14.165)
      ( 0, 33, 41.204)
      ( 0, 36, 81.720)
      ( 0, 38, 46.337)
      ( 0, 40, 34.348)
      ( 0, 44, 42.514)
      ( 1,  2, 79.679)
      ( 1,  5, 14.355)
      ( 1,  6, 92.803)
      ( 1, 12, 54.169)
      ( 1, 14, 97.499)
      ( 1, 18, 70.776)
      ( 1, 23, 27.375)
      ( 1, 26, 46.869)
      ( 1, 27, 44.184)
      ( 1, 30, 63.996)
      ( 1, 32, 27.038)
      ( 1, 34, 23.972)
      ( 1, 37, 85.388)
      ( 1, 39, 74.638)
      ( 1, 43, 75.335)
      ( 2,  3, 99.512)
      ( 2,  4, 61.551)
      ( 2,  5, 94.293)
      ( 2,  9, 52.254)
      ( 2, 14, 58.363)
      ( 2, 17, 69.884)
      ( 2, 24, 36.392)
      ( 2, 34, 75.076)
      ( 2, 35, 67.947)
      ( 2, 36, 59.085)
      ( 2, 38, 94.794)
      ( 2, 40, 81.121)
      ( 2, 41, 65.843)
      ( 3, 12, 72.343)
      ( 3, 14,  8.732)
      ( 3, 15,  0.673)
      ( 3, 22, 79.016)
      ( 3, 24,  3.400)
      ( 3, 25,  3.461)
      ( 3, 26, 37.283)
      ( 3, 27, 15.788)
      ( 3, 28, 57.890)
      ( 3, 38, 48.720)
      ( 3, 39, 36.465)
      ( 3, 40, 47.644)
      ( 3, 41, 88.818)
      ( 3, 43, 74.262)
      ( 4,  7, 88.954)
      ( 4,  8, 63.490)
      ( 4, 11, 45.431)
      ( 4, 32, 62.871)
      ( 4, 38, 42.528)
      ( 4, 43, 56.570)
      ( 5,  6, 93.965)
      ( 5,  8,  6.921)
      ( 5,  9, 75.682)
      ( 5, 11, 98.589)
      ( 5, 12, 16.945)
      ( 5, 14, 14.092)
      ( 5, 17, 91.362)
      ( 5, 20,  6.869)
      ( 5, 29,  0.797)
      ( 5, 33, 72.818)
      ( 5, 44, 64.457)
      ( 6,  7, 28.145)
      ( 6,  8, 97.595)
      ( 6,  9, 94.377)
      ( 6, 14, 33.894)
      ( 6, 15, 73.794)
      ( 6, 16, 89.853)
      ( 6, 17, 65.878)
      ( 6, 18, 42.870)
      ( 6, 21, 24.910)
      ( 6, 24, 99.519)
      ( 6, 28, 48.784)
      ( 6, 33, 32.094)
      ( 6, 38, 41.286)
      ( 6, 39, 38.538)
      ( 6, 40, 67.139)
      ( 7, 14, 49.182)
      ( 7, 16, 28.290)
      ( 7, 17, 96.165)
      ( 7, 23, 20.518)
      ( 7, 24, 72.497)
      ( 7, 26, 70.229)
      ( 7, 29, 41.382)
      ( 7, 30, 43.639)
      ( 7, 31, 58.552)
      ( 7, 32, 12.009)
      ( 7, 35, 44.148)
      ( 8, 12, 33.134)
      ( 8, 18, 98.261)
      ( 8, 29, 89.271)
      ( 8, 35, 32.505)
      ( 8, 36, 19.089)
      ( 8, 38, 94.650)
      ( 8, 39, 67.689)
      ( 8, 40,  2.243)
      ( 8, 41,  0.694)
      ( 9, 10, 22.994)
      ( 9, 13, 76.101)
      ( 9, 14, 12.446)
      ( 9, 15, 51.736)
      ( 9, 16, 87.488)
      ( 9, 18, 85.162)
      ( 9, 19, 97.264)
      ( 9, 20, 90.331)
      ( 9, 21, 58.303)
