30: Number of 30-Weighted-Directed-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 0,  9, 71.815)
      ( 0, 11,  6.077)
      ( 0, 13, 92.693)
      ( 0, 24, 47.492)
      ( 0, 31, 58.496)
      ( 0, 32, 42.901)
      ( 0, 39, 72.455)
      ( 1, 19, 39.178)
      ( 2,  0, 55.620)
      ( 2, 10, 51.542)
      ( 2, 23, 91.857)
      ( 2, 33, 79.219)
      ( 2, 34, 53.939)
      ( 3, 19,  1.508)
      ( 3, 21, 63.698)
      ( 3, 23, 33.625)
      ( 3, 35, 74.144)
      ( 3, 39, 74.918)
      ( 4,  2, 32.895)
      ( 4, 24, 27.452)
      ( 4, 25, 37.256)
      ( 4, 31, 53.865)
      ( 5,  0, 42.478)
      ( 5,  6, 31.048)
      ( 5,  7,  2.673)
      ( 5, 12, 65.163)
      ( 5, 22, 18.559)
      ( 5, 23, 91.214)
      ( 5, 37, 25.807)
      ( 6, 13, 63.482)
      ( 6, 14, 10.209)
      ( 6, 18, 57.247)
      ( 6, 20, 53.550)
      ( 6, 24, 78.236)
      ( 6, 26, 84.004)
      ( 6, 32, 15.793)
      ( 7, 13,  0.923)
      ( 7, 32, 23.193)
      ( 7, 38, 17.131)
      ( 8, 34, 72.344)
      ( 9,  7, 60.073)
      ( 9, 10, 97.861)
      ( 9, 15, 68.410)
      ( 9, 26, 46.139)
      ( 9, 29, 22.095)
      ( 9, 30, 83.376)
      ( 9, 32,  6.121)
      (10,  3, 51.632)
      (10,  7, 87.387)
      (10, 11, 72.936)
      (10, 15, 12.723)
      (10, 24, 34.073)
      (11,  0, 56.271)
      (11, 12, 18.330)
      (11, 24, 24.310)
      (11, 25, 96.981)
      (12, 25, 59.022)
      (13, 18, 96.182)
      (14, 17, 96.469)
      (15,  0, 72.841)
      (15, 26, 37.829)
      (15, 27,  8.711)
      (16,  1, 49.320)
      (16, 11, 61.030)
      (16, 17, 83.177)
      (16, 28, 15.074)
      (17,  4,  9.664)
      (17, 14, 87.122)
      (17, 19, 96.695)
      (17, 39, 84.743)
      (18, 21, 95.942)
      (18, 24, 44.474)
      (18, 25, 59.762)
      (19,  0, 51.885)
      (19,  6, 30.516)
      (19,  9,  9.954)
      (19, 21, 98.939)
      (20,  3, 55.461)
      (20, 14, 36.378)
      (20, 25, 42.180)
      (21,  1,  0.028)
      (21,  4, 50.007)
      (21,  6, 62.423)
      (21, 26, 14.145)
      (21, 38, 72.931)
      (22, 13, 35.383)
      (22, 18,  8.181)
      (22, 20,  2.967)
      (22, 24, 88.233)
      (22, 33, 44.953)
      (22, 34, 48.733)
      (23,  3, 39.211)
      (23, 14, 63.168)
      (23, 19, 15.304)
      (23, 35, 16.990)
      (24,  5, 86.529)
      (24, 11, 32.970)
      (24, 22, 30.686)
      (24, 33, 44.919)
      (25,  5, 33.928)
      (25,  8, 74.406)
      (25, 15, 57.612)
      (25, 33, 65.783)
      (26, 35,  6.781)
      (26, 37, 62.875)
      (26, 38, 10.923)
      (27, 19, 35.277)
      (27, 34, 28.944)
      (27, 37, 11.835)
      (28,  2, 85.439)
      (28,  3, 73.894)
      (28, 12, 51.649)
      (28, 18, 19.573)
      (28, 19, 22.437)
      (28, 22, 81.360)
      (29,  6, 15.322)
      (29, 12,  2.523)
      (29, 21, 37.809)
      (29, 30, 52.795)
      (30, 10, 32.845)
      (30, 18, 70.716)
      (30, 24, 98.937)
      (30, 27, 33.960)
      (30, 29,  1.278)
      (31, 20, 21.321)
      (31, 26,  8.950)
      (32, 21, 54.904)
      (33,  4, 44.810)
      (33, 30, 30.224)
      (34,  9, 80.764)
      (34, 10, 72.381)
      (34, 21, 11.309)
      (34, 31, 39.950)
      (35, 11, 36.161)
      (36, 25, 41.060)
      (36, 29,  5.799)
      (36, 31, 84.885)
      (37,  2, 88.768)
      (37, 13, 88.584)
      (37, 14, 58.960)
      (37, 17, 84.271)
      (37, 36, 90.821)
      (38,  1, 63.022)
      (38, 13, 80.416)
      (38, 33, 22.759)
      (38, 39, 71.777)
      (39, 33, 50.289) } |E|=147 
---------------- 

** G16: |V|=45
(u, v, weight) E = { 
      ( 0,  1, 14.494)
      ( 0, 18, 38.384)
      ( 0, 21, 58.166)
      ( 0, 25, 56.646)
      ( 0, 27, 69.005)
      ( 1, 18, 96.743)
      ( 1, 19,  3.784)
      ( 1, 32, 73.764)
      ( 1, 34,  9.987)
      ( 2,  4, 23.013)
      ( 2, 13, 50.120)
      ( 2, 24, 25.760)
      ( 3,  1, 81.594)
      ( 3,  2, 68.220)
      ( 3, 14, 76.742)
      ( 3, 21, 52.351)
      ( 3, 23, 53.200)
      ( 3, 24, 88.979)
      ( 3, 25, 95.973)
      ( 4,  1, 88.208)
      ( 4,  3,  5.194)
      ( 4,  7, 40.072)
      ( 4, 13, 34.088)
      ( 4, 22,  9.507)
      ( 5,  3, 49.144)
      ( 5, 10,  3.928)
      ( 5, 18, 39.226)
      ( 5, 33, 56.689)
      ( 5, 41,  7.355)
      ( 6,  1, 44.126)
      ( 6,  3, 12.382)
      ( 6,  4,  2.395)
      ( 6, 16, 42.116)
      ( 6, 29, 47.563)
      ( 6, 32, 70.427)
      ( 6, 40, 17.196)
      ( 6, 42, 86.017)
      ( 7, 10, 45.469)
      ( 7, 13, 96.391)
      ( 7, 20, 92.472)
      ( 7, 28, 99.144)
      ( 7, 39,  7.327)
      ( 8,  7, 18.654)
      ( 8, 20, 34.836)
      ( 8, 35, 57.524)
      ( 9,  7, 78.199)
      ( 9, 11, 93.050)
      ( 9, 18, 48.539)
      ( 9, 37, 73.667)
      ( 9, 38, 62.785)
      ( 9, 39, 45.975)
      ( 9, 40, 80.390)
      ( 9, 41, 68.828)
      (10,  3, 84.100)
      (10, 31, 73.062)
      (11,  6, 10.508)
      (11, 10, 23.256)
      (11, 16,  6.896)
      (11, 26, 88.479)
      (11, 35, 85.819)
      (12,  2,  2.040)
      (12, 15, 18.268)
      (12, 29,  0.050)
      (12, 41, 89.928)
      (13, 21, 62.391)
      (13, 26, 69.022)
      (13, 40, 46.461)
      (14,  5, 47.233)
      (14,  6, 96.103)
      (14, 19, 66.363)
      (14, 20, 71.720)
      (14, 39, 34.379)
      (14, 43, 95.769)
      (14, 44, 49.853)
      (15,  1, 96.416)
      (15, 11, 35.318)
      (15, 12, 89.008)
      (15, 14,  9.081)
      (15, 26, 59.702)
      (15, 32, 71.699)
      (16,  4, 85.564)
      (16, 10, 48.774)
      (16, 27, 64.710)
      (16, 37, 86.203)
      (16, 44, 89.100)
      (17, 22, 57.183)
      (17, 23, 86.927)
      (17, 31, 87.639)
      (17, 38,  5.870)
      (17, 39, 65.960)
      (18,  3,  3.637)
      (18,  6, 95.621)
      (18, 32, 11.233)
      (19, 18, 14.423)
      (19, 27,  7.220)
      (19, 34, 97.160)
      (20,  0, 47.293)
      (20,  2, 75.504)
      (20, 11, 91.955)
      (20, 13, 95.230)
      (20, 16, 58.396)
      (20, 22, 48.676)
      (20, 24, 32.397)
      (20, 43, 89.070)
      (21, 15, 82.962)
      (21, 16, 87.344)
      (21, 22, 88.336)
      (21, 28, 77.559)
      (21, 34, 89.157)
      (21, 42, 23.526)
      (22,  9,  3.042)
      (22, 21, 54.795)
      (22, 24, 97.270)
      (22, 32, 52.370)
      (22, 44, 51.986)
      (23,  7, 51.253)
      (23, 10, 61.686)
      (24, 13, 30.150)
      (24, 28, 70.172)
      (24, 32, 31.123)
      (24, 36, 71.289)
      (24, 38,  1.299)
      (24, 44, 87.012)
      (25,  0, 64.664)
      (25,  5, 86.287)
      (25, 10, 51.237)
      (25, 18, 55.924)
      (25, 21, 80.259)
      (25, 26, 56.237)
      (25, 27, 21.788)
      (25, 39, 56.066)
      (26,  7, 83.307)
      (26, 21, 32.998)
      (26, 30, 17.171)
      (26, 38, 61.541)
      (26, 44, 52.093)
      (27, 14, 33.288)
      (27, 15, 27.741)
      (27, 29, 40.976)
      (27, 30, 97.042)
      (27, 35, 53.113)
      (27, 39, 79.807)
      (28, 12, 25.731)
      (28, 14, 10.618)
      (29,  2, 90.460)
      (29, 14, 58.159)
      (30,  0, 32.028)
      (30,  1, 15.580)
      (30,  2, 79.070)
      (30, 18, 99.748)
      (30, 20, 92.886)
      (31,  0, 58.707)
      (31,  9, 64.173)
      (31, 21, 94.349)
      (31, 41, 15.647)
      (32,  1,  7.905)
      (32, 15, 42.015)
      (33, 18, 74.604)
      (33, 20, 70.610)
      (33, 31, 87.157)
      (34,  3, 26.887)
      (34,  8, 86.301)
      (34, 13, 47.051)
      (34, 18, 52.838)
      (34, 39, 45.542)
      (34, 43, 75.196)
      (35,  1,  3.557)
      (35,  4,  7.881)
      (35, 24, 17.776)
      (36, 32, 25.824)
      (37,  0, 47.933)
      (37, 15, 34.062)
      (37, 22, 96.843)
      (37, 29, 34.513)
      (37, 42, 82.465)
      (38, 12, 41.175)
      (38, 19, 45.168)
      (38, 37, 45.654)
      (38, 43, 57.386)
      (39,  6, 57.564)
      (39,  8, 71.588)
      (39, 15,  3.315)
      (39, 25, 72.310)
      (39, 34, 81.662)
      (40, 10, 52.534)
      (40, 26, 16.227)
      (40, 27, 92.669)
      (40, 31,  7.048)
      (41, 39, 11.899)
      (42, 11, 47.468)
      (42, 13, 33.872)
      (42, 25,  2.299)
      (42, 32,  6.331)
      (43,  4,  8.293)
      (43, 25,  2.295)
      (43, 31, 47.878)
      (43, 42, 54.819)
      (44, 10, 56.010)
      (44, 17, 22.217)
      (44, 20, 61.012)
      (44, 25, 48.564) } |E|=201 
---------------- 

** G17: |V|=45
(u, v, weight) E = { 
      ( 0,  5, 28.236)
      ( 0, 32,  3.728)
      ( 0, 33, 30.225)
      ( 1,  2, 27.562)
      ( 1, 11, 73.882)
      ( 1, 21,  0.366)
      ( 2,  3, 82.702)
      ( 2, 10,  5.233)
      ( 2, 13,  7.811)
      ( 2, 23, 32.677)
      ( 2, 41, 78.455)
      ( 3, 16, 62.208)
      ( 4,  0, 52.941)
      ( 4, 10,  0.502)
      ( 4, 12, 73.710)
      ( 4, 27, 96.177)
      ( 5, 34, 65.986)
      ( 6,  0, 50.302)
      ( 6, 17, 22.033)
      ( 6, 25, 55.832)
      ( 6, 26, 45.417)
      ( 6, 32,  0.542)
      ( 6, 35, 31.074)
      ( 7,  5, 22.168)
      ( 7, 26, 45.719)
      ( 7, 36, 41.419)
      ( 7, 38,  0.380)
      ( 7, 41, 44.953)
      ( 8, 11, 49.257)
      ( 8, 16, 23.338)
      ( 8, 26, 28.114)
      ( 9,  7, 48.048)
      ( 9, 17, 32.735)
      ( 9, 22, 50.365)
      ( 9, 43, 71.566)
      (10,  6, 65.186)
      (10, 12, 50.309)
      (10, 34, 99.130)
      (11,  0,  6.497)
      (11,  2, 73.993)
      (11,  5, 22.781)
      (11,  6, 88.841)
      (11, 16, 24.585)
      (11, 19, 99.324)
      (11, 25, 94.694)
      (12,  4, 30.185)
      (12,  6, 46.132)
      (12,  8, 29.548)
      (12, 22, 15.108)
      (12, 24, 30.022)
      (12, 37, 69.036)
      (12, 40, 63.257)
      (13, 37, 98.733)
      (13, 38, 43.662)
      (14, 39, 66.502)
      (14, 44, 53.458)
      (15,  6, 69.906)
      (15,  7,  5.090)
      (15, 10, 81.457)
      (15, 18, 58.624)
      (15, 25,  6.011)
      (15, 37, 75.241)
      (15, 41, 12.527)
      (16,  1, 35.112)
      (16, 35, 93.475)
      (17,  2,  6.285)
      (17, 14, 53.523)
      (17, 31, 53.619)
      (17, 37, 75.219)
      (18, 16, 66.099)
      (18, 19,  5.190)
      (18, 21, 68.599)
      (18, 26, 98.147)
      (19, 17, 99.887)
      (19, 27,  0.515)
      (19, 34, 46.200)
      (20,  2, 63.606)
      (20, 14, 24.381)
      (20, 15, 23.102)
      (20, 19, 60.850)
      (20, 30, 57.150)
      (21, 20, 90.817)
      (21, 26, 33.101)
      (21, 36, 15.657)
      (21, 43, 99.451)
      (22,  3, 63.023)
      (22, 30, 34.689)
      (23,  2, 41.752)
      (23,  7,  6.926)
      (23, 31, 66.928)
      (23, 35, 44.940)
      (24,  0, 38.144)
      (24,  9,  7.562)
      (24, 12, 58.404)
      (24, 26, 35.528)
      (24, 27, 21.225)
      (24, 29, 24.203)
      (24, 30,  1.406)
      (24, 36, 81.075)
      (24, 43, 62.864)
      (25, 12, 63.784)
      (25, 15, 87.265)
      (25, 40, 15.171)
      (26,  6, 85.154)
      (26,  8, 28.226)
      (26, 12, 34.014)
      (26, 44, 14.930)
      (27,  0, 95.531)
      (27,  3, 13.579)
      (27, 32, 91.588)
      (27, 44, 61.969)
      (28,  3, 65.084)
      (28, 19, 60.314)
      (28, 39, 94.374)
      (29,  0,  9.373)
      (29,  4, 23.932)
      (29, 18, 60.446)
      (29, 24, 67.226)
      (29, 38, 44.978)
      (30, 14, 21.058)
      (30, 19, 15.172)
      (30, 20,  2.069)
      (30, 22, 39.248)
      (30, 35, 26.765)
      (30, 36, 25.652)
      (31,  3, 35.889)
      (31, 11, 26.591)
      (31, 16, 65.063)
      (31, 19, 15.141)
      (31, 25, 80.896)
      (31, 32, 19.756)
      (31, 35, 19.529)
      (31, 41, 46.137)
      (32,  3, 98.430)
      (32,  4,  0.462)
      (32,  5, 16.480)
      (32,  8, 76.299)
      (32, 18, 50.365)
      (32, 29, 26.012)
      (32, 42, 61.217)
      (33,  3, 93.406)
      (33, 11, 88.433)
      (34,  0, 76.625)
      (34,  8, 93.277)
      (34, 25, 29.828)
      (34, 27,  5.105)
      (34, 41, 83.824)
      (34, 43, 92.349)
      (34, 44, 84.276)
      (35,  3, 75.840)
      (35, 12, 74.569)
      (35, 18, 80.947)
      (35, 22, 43.710)
      (35, 23, 69.979)
      (35, 42, 19.884)
      (36,  0, 43.703)
      (36, 10, 25.008)
      (36, 28, 62.359)
      (36, 42, 25.439)
      (37,  8, 72.528)
      (37, 17, 21.084)
      (38, 29, 30.443)
      (38, 34, 41.431)
      (39, 10, 19.682)
      (39, 17, 98.620)
      (39, 18, 82.549)
      (39, 21, 65.759)
      (39, 22, 75.321)
      (40,  1, 96.384)
      (40,  2, 14.873)
      (40,  9,  3.069)
      (40, 11,  1.226)
      (40, 31, 48.078)
      (40, 32, 24.594)
      (40, 41, 96.449)
      (40, 42, 10.078)
      (41,  1, 39.243)
      (41, 13, 41.183)
      (41, 14, 77.114)
      (41, 21, 32.162)
      (41, 35, 15.620)
      (41, 43, 71.475)
      (42, 10, 68.046)
      (42, 12, 98.344)
      (42, 18, 15.580)
      (42, 37, 26.984)
      (42, 44, 74.586)
      (43,  6, 68.743)
      (43, 19, 19.069)
      (43, 27, 61.665)
      (43, 39, 51.398)
      (44,  2, 65.082)
      (44, 10, 41.836)
      (44, 16, 14.793)
      (44, 41, 78.442) } |E|=195 
---------------- 

** G18: |V|=50
(u, v, weight) E = { 
      ( 0,  5, 57.462)
      ( 0,  7, 70.358)
      ( 0,  8, 33.093)
      ( 0, 13, 78.219)
      ( 0, 15, 81.297)
      ( 0, 20, 76.613)
      ( 0, 21, 45.882)
      ( 0, 22, 54.223)
      ( 0, 49, 97.194)
      ( 1,  2, 65.597)
      ( 1, 12, 65.550)
      ( 1, 26, 63.062)
      ( 1, 36,  3.916)
      ( 1, 45, 67.191)
      ( 1, 47, 63.351)
      ( 2,  7, 64.658)
      ( 2, 23, 63.401)
      ( 2, 28, 79.944)
      ( 2, 31, 18.851)
      ( 2, 44, 58.526)
      ( 2, 45, 20.807)
      ( 2, 49, 42.233)
      ( 3, 29, 51.712)
      ( 3, 35, 78.845)
      ( 3, 41, 28.281)
      ( 3, 42, 28.451)
      ( 4,  1, 40.408)
      ( 4,  5, 24.826)
      ( 4,  8, 51.622)
      ( 4, 21, 53.824)
      ( 4, 25,  6.368)
      ( 4, 35, 77.859)
      ( 5,  0,  2.592)
      ( 5, 29, 51.286)
      ( 5, 31, 57.509)
      ( 6, 12, 19.556)
      ( 6, 18, 85.102)
      ( 6, 19, 74.149)
      ( 6, 28,  5.356)
      ( 6, 45, 68.307)
      ( 7,  0, 75.069)
      ( 7,  2, 28.371)
      ( 7,  3, 91.034)
      ( 7, 28,  4.974)
      ( 7, 46, 45.400)
      ( 8, 20, 86.517)
      ( 8, 23, 97.891)
      ( 8, 35, 98.093)
      ( 8, 37, 31.409)
      ( 8, 40, 20.884)
      ( 8, 43, 12.106)
      ( 8, 48, 55.684)
      ( 9, 33,  8.695)
      ( 9, 43, 76.558)
      (10,  2, 10.429)
      (10,  9, 16.480)
      (10, 13, 77.145)
      (10, 14, 54.929)
      (10, 26, 93.626)
      (10, 46, 81.100)
      (11, 16, 11.358)
      (11, 33, 14.139)
      (12,  2, 94.448)
      (12,  9,  0.415)
      (12, 13, 58.319)
      (12, 20, 24.025)
      (12, 21,  4.587)
      (12, 28, 84.394)
      (13, 12, 23.991)
      (13, 18, 13.667)
      (13, 43, 29.756)
      (13, 47, 52.680)
      (14,  1, 54.428)
      (14, 12, 94.901)
      (14, 22, 42.459)
      (14, 34, 66.491)
      (14, 40, 51.154)
      (15,  3, 95.239)
      (15, 10, 30.618)
      (15, 12,  5.216)
      (15, 17, 93.340)
      (15, 20, 87.645)
      (15, 39, 70.151)
      (16, 14, 78.011)
      (16, 25, 86.431)
      (16, 43, 77.321)
      (16, 48, 87.320)
      (17,  2, 31.512)
      (17, 23, 65.809)
      (17, 29, 32.074)
      (17, 30, 60.921)
      (17, 31, 73.656)
      (17, 34, 70.983)
      (17, 47, 21.426)
      (18,  6, 78.591)
      (18,  9, 64.328)
      (18, 14, 22.270)
      (18, 15, 56.460)
      (18, 32, 51.568)
      (18, 34, 89.049)
      (18, 35, 38.086)
      (18, 41, 50.216)
      (19,  5,  0.634)
      (19, 14, 73.132)
      (19, 39, 47.226)
      (19, 44, 70.283)
      (20,  0, 85.122)
      (20, 17, 51.654)
      (20, 27, 67.112)
      (20, 38, 51.560)
      (20, 40, 12.045)
      (21,  1, 30.245)
      (21,  7, 83.099)
      (21, 14, 12.532)
      (21, 25, 14.126)
      (21, 26, 47.542)
      (21, 34, 69.940)
      (22,  5, 34.020)
      (22,  9, 98.636)
      (22, 38, 45.054)
      (22, 39, 28.504)
      (23,  0, 95.055)
      (23, 16, 30.468)
      (23, 30, 12.091)
      (23, 33, 61.233)
      (23, 35, 77.513)
      (23, 39, 85.965)
      (23, 40, 13.197)
      (23, 43, 34.364)
      (24, 19, 10.239)
      (25,  2, 52.785)
      (25,  8, 43.308)
      (25, 10, 44.897)
      (25, 16, 96.709)
      (25, 27, 11.560)
      (25, 29, 55.201)
      (25, 44,  5.913)
      (26,  8, 16.760)
      (26, 15, 28.752)
      (26, 16, 29.735)
      (26, 25, 44.812)
      (26, 32, 52.083)
      (26, 45, 90.291)
      (27, 18, 11.226)
      (27, 19, 65.199)
      (27, 24, 40.740)
      (27, 26, 20.506)
      (27, 31, 65.868)
      (27, 40, 74.716)
      (27, 41, 75.595)
      (28, 11, 65.890)
      (28, 13, 81.315)
      (28, 16, 24.450)
      (29,  2,  3.240)
      (29,  5, 65.483)
      (29, 16,  4.337)
      (29, 20, 41.785)
      (29, 30, 77.823)
      (29, 48, 79.288)
      (30, 11, 28.438)
      (30, 19, 31.306)
      (30, 25, 48.500)
      (31,  0, 48.024)
      (31,  2, 86.785)
      (31,  7, 48.477)
      (31, 22, 64.780)
      (31, 23, 22.954)
      (31, 33, 91.569)
      (31, 34, 34.653)
      (31, 40, 75.825)
      (31, 47, 78.368)
      (32, 13, 68.925)
      (32, 41, 89.591)
      (32, 42, 67.294)
      (32, 43, 62.519)
      (32, 48, 68.399)
      (32, 49, 42.369)
      (33,  4, 67.977)
      (33, 35, 55.257)
      (33, 41, 51.645)
      (33, 43, 16.490)
      (33, 47, 82.646)
      (33, 49, 53.558)
      (34,  6, 80.429)
      (34,  9, 36.213)
      (34, 15, 58.000)
      (34, 32, 71.044)
      (34, 37, 42.941)
      (34, 38, 76.660)
      (34, 49, 38.254)
      (35, 11, 55.056)
      (35, 13, 86.850)
      (35, 15, 12.823)
      (35, 16, 32.994)
      (35, 22, 84.087)
      (35, 26, 79.174)
      (35, 41, 65.914)
      (36,  3, 91.732)
      (36,  6, 41.376)
      (36, 11, 56.729)
      (36, 19, 22.530)
      (36, 30, 47.117)
      (36, 39, 68.207)
      (36, 43, 66.557)
      (36, 49, 64.020)
      (37,  1,  4.156)
      (37,  8, 60.007)
      (37, 10, 29.121)
      (37, 16, 42.096)
      (37, 21, 64.212)
      (37, 42, 42.035)
      (38, 44, 60.074)
      (39, 18, 93.858)
      (39, 42, 18.885)
      (40, 12, 53.763)
      (40, 20, 35.660)
      (40, 31, 22.695)
      (40, 33, 60.465)
      (41, 14, 77.252)
      (41, 21, 92.521)
      (41, 25, 78.751)
      (41, 49, 61.718)
      (42,  3, 68.775)
      (42, 13, 50.444)
      (42, 15, 19.992)
      (42, 29, 61.811)
      (42, 41, 99.955)
      (42, 46, 12.571)
      (43, 14, 12.347)
      (43, 30, 70.925)
      (43, 36, 95.864)
      (43, 41, 44.703)
      (44,  4, 92.391)
      (44,  5,  1.026)
      (44,  9, 71.841)
      (44, 10, 68.780)
      (44, 11, 85.759)
      (44, 32, 76.808)
      (44, 34, 99.638)
      (44, 46, 38.717)
      (45,  4, 83.821)
      (45,  5, 37.260)
      (45,  8, 64.898)
      (45, 17,  9.434)
      (45, 24, 66.748)
      (45, 36, 29.742)
      (46,  0, 32.632)
      (46,  1, 57.581)
      (46,  4, 34.319)
      (46,  5, 93.351)
      (46, 23, 20.897)
      (46, 29, 85.573)
      (46, 47, 18.865)
      (47, 20, 77.236)
      (47, 26, 36.513)
      (47, 27, 40.456)
      (47, 34, 25.635)
      (47, 35, 80.422)
      (47, 37, 75.801)
      (48, 15,  0.346)
      (48, 35, 45.491)
      (49, 10, 92.456)
      (49, 39, 62.637)
      (49, 40,  9.992) } |E|=264 
---------------- 

** G19: |V|=50
(u, v, weight) E = { 
      ( 0, 13, 82.886)
      ( 0, 16, 61.561)
      ( 0, 17, 71.227)
      ( 0, 19, 60.175)
      ( 0, 27, 54.115)
      ( 0, 37, 42.726)
      ( 0, 39, 88.386)
      ( 1,  0, 80.712)
      ( 1,  8, 50.286)
      ( 1, 10, 34.080)
      ( 1, 13, 74.048)
      ( 1, 14, 78.585)
      ( 1, 18, 88.422)
      ( 1, 33, 75.963)
      ( 1, 42, 58.865)
      ( 1, 47, 21.195)
      ( 2, 16, 79.238)
      ( 2, 27, 87.369)
      ( 2, 36, 52.830)
      ( 3,  2, 51.129)
      ( 3, 17, 84.524)
      ( 3, 30, 67.276)
      ( 3, 48, 86.578)
      ( 4,  2, 61.533)
      ( 4, 15, 14.614)
      ( 4, 21, 47.209)
      ( 4, 35, 55.593)
      ( 4, 43, 10.357)
      ( 4, 49, 54.190)
      ( 5, 22, 62.435)
      ( 5, 24,  2.742)
      ( 5, 35, 28.739)
      ( 5, 40, 17.686)
      ( 5, 48, 70.030)
      ( 6,  2, 38.697)
      ( 6, 18, 59.609)
      ( 6, 23, 93.664)
      ( 6, 34, 19.912)
      ( 6, 43, 56.431)
      ( 6, 46,  3.708)
      ( 7, 10, 29.601)
      ( 7, 33,  2.940)
      ( 8,  2,  0.371)
      ( 8, 24,  5.809)
      ( 8, 41,  6.686)
      ( 9,  6, 48.612)
      ( 9, 10, 80.994)
      ( 9, 27, 72.642)
      ( 9, 30, 69.077)
      (10,  1, 29.224)
      (10,  2, 93.128)
      (10, 14, 20.709)
      (10, 17, 81.190)
      (10, 25, 80.202)
      (10, 31,  6.925)
      (10, 34, 24.791)
      (10, 38, 94.534)
      (10, 42,  1.615)
      (11, 37, 66.771)
      (11, 43, 70.795)
      (12,  3, 99.931)
      (12, 10, 42.354)
      (12, 11, 99.965)
      (12, 14, 36.278)
      (12, 18, 17.947)
      (12, 26, 65.968)
      (12, 27, 80.172)
      (12, 33, 36.843)
      (13, 14, 43.399)
      (13, 16, 39.867)
      (13, 30, 10.033)
      (14,  1, 32.427)
      (14, 12, 57.127)
      (14, 18, 50.784)
      (14, 21, 96.418)
      (15,  9,  2.526)
      (15, 20, 97.963)
      (15, 23, 67.096)
      (16,  7, 11.488)
      (16, 10, 32.266)
      (16, 34, 57.616)
      (16, 39, 46.745)
      (16, 40, 96.730)
      (16, 44, 34.347)
      (17,  7, 20.784)
      (17,  8, 53.730)
      (17, 14, 64.901)
      (17, 35, 39.671)
      (17, 43, 87.812)
      (18,  0, 43.813)
      (18, 23, 73.393)
      (18, 24, 47.724)
      (18, 32, 74.133)
      (19, 21, 92.103)
      (19, 25, 44.176)
      (20,  4, 20.800)
      (20,  6, 41.290)
      (20,  8, 95.059)
      (20, 27, 27.662)
      (20, 47,  9.574)
      (21,  4, 48.548)
      (21,  5, 99.128)
      (21, 13, 45.611)
      (21, 26, 40.401)
      (21, 35, 84.901)
      (21, 38, 39.002)
      (21, 46, 63.762)
      (22, 13, 52.297)
      (22, 33,  3.203)
      (23,  4, 77.480)
      (23,  8,  0.434)
      (23, 12, 38.798)
      (23, 16, 13.024)
      (23, 33, 13.068)
      (23, 38, 27.206)
      (23, 41, 60.142)
      (23, 44, 35.371)
      (23, 46, 76.600)
      (24,  8,  6.049)
      (24, 10,  5.715)
      (24, 25, 37.874)
      (24, 48, 72.521)
      (25,  6, 25.318)
      (25, 11, 12.294)
      (25, 22, 34.677)
      (25, 34, 18.390)
      (26,  2, 11.435)
      (26,  3,  0.074)
      (26, 20, 62.019)
      (27,  6, 23.527)
      (27, 13, 34.792)
      (27, 26,  4.639)
      (27, 32, 95.541)
      (28,  3, 43.068)
      (28,  5, 32.564)
      (28, 14, 40.431)
      (28, 24, 91.974)
      (28, 29, 78.188)
      (28, 33, 64.285)
      (28, 44, 28.136)
      (28, 46, 95.023)
      (29,  3, 15.007)
      (29, 13, 21.604)
      (29, 26,  8.031)
      (29, 27, 87.836)
      (29, 36, 38.797)
      (29, 37, 89.611)
      (30,  2, 77.432)
      (30,  9, 28.324)
      (30, 19, 60.747)
      (30, 22, 18.831)
      (30, 38, 52.846)
      (30, 41,  4.680)
      (30, 48, 97.574)
      (31,  0, 39.732)
      (31, 29, 54.450)
      (31, 30, 90.054)
      (31, 33, 47.758)
      (32, 12, 66.986)
      (32, 16, 27.325)
      (32, 18, 54.894)
      (32, 25, 77.470)
      (33,  0, 35.208)
      (33, 10, 21.043)
      (34, 18, 80.399)
      (34, 32, 52.751)
      (34, 46, 19.246)
      (34, 49, 57.829)
      (35, 13, 58.994)
      (35, 32, 81.754)
      (35, 36, 17.235)
      (36,  2, 78.004)
      (36,  7, 88.541)
      (36, 27, 41.997)
      (36, 37, 65.398)
      (36, 43, 41.628)
      (36, 45, 97.745)
      (37, 14, 32.145)
      (37, 20,  2.659)
      (37, 24, 77.308)
      (37, 49, 81.468)
      (38,  2,  9.271)
      (38,  6, 62.763)
      (38, 20, 82.561)
      (38, 31, 67.111)
      (38, 36, 24.506)
      (38, 40, 72.502)
      (39, 14, 71.221)
      (39, 31, 37.923)
      (39, 41, 87.065)
      (39, 44, 38.227)
      (39, 48, 70.469)
      (40, 18,  0.840)
      (40, 19, 61.286)
      (40, 34, 87.715)
      (41,  7, 88.491)
      (41,  8, 28.049)
      (41, 11, 16.183)
      (41, 34, 23.448)
      (42,  0, 45.392)
      (42,  3, 71.209)
      (42,  4, 80.899)
      (42, 15, 17.421)
      (42, 27, 95.927)
      (42, 36, 10.094)
      (42, 41, 35.122)
      (42, 47, 62.322)
      (43, 33, 95.056)
      (43, 34, 38.940)
      (43, 38, 98.655)
      (44,  4, 94.064)
      (44, 10, 34.015)
      (44, 17, 74.624)
      (44, 19, 20.864)
      (44, 29, 98.839)
      (44, 39, 96.105)
      (45, 16, 67.246)
      (45, 29, 57.660)
